"38 Special","Flashback"
"Electric Light Orchestra","ELO's Greatest Hits"
"Electric Light Orchestra","The Essential Electric Light Orchestra"
"Electric Light Orchestra","Face the Music"
"Elton John","Duets"
"Elton John","Goodbye Yellow Brick Road"
"Emerson, Lake & Palmer","Black Moon"
"Eric Clapton","From the Cradle"
"Eric Clapton","Journeyman"
"Eric Clapton","Pilgrim"
"Eric Clapton","Slowhand"
"Eric Clapton","Unplugged"
"Eric Johnson","Ah Via Musicom"
"Eurythmics","Ultimate Collection"
"Extreme","Extreme"
"Extreme","Extreme II: Pornograffitti (A Funked Up Fairy Tale)"
"Extreme","III Sides to Every Story"
"Faster Pussycat","Whipped!"
"Felix Mendelssohn Bartholdy","Romantic Guitar Favourites"
"FireHouse","Firehouse"
"Fleetwood Mac","Fleetwood Mac"
"Fleetwood Mac","Mirage"
"Fleetwood Mac","Rumours"
"Fleetwood Mac","The Very Best of Fleetwood Mac"
"Foo Fighters","The Colour and the Shape"
"Foreigner","4"
"Foreigner","40"
"Foreigner","Agent Provocateur"
"Foreigner","The Best of Foreigner 4 & More"
"Foreigner","Classic Hits Live"
"Foreigner","Double Vision"
"Foreigner","Foreigner"
"Foreigner","Head Games"
"Foreigner","Inside Information"
"Foreigner","Juke Box Heroes"
"Fountains Of Wayne","Welcome Interstate Managers"
"Frankie Valli","Grease: The Original Soundtrack from the Motion Picture"
"Franz Ferdinand","Franz Ferdinand"
"Genesis","Duke"
"Genesis","Invisible Touch"
"George Strait","Honky Tonk Time Machine"
"George Thorogood & the Destroyers","Bad to the Bone"
"George Thorogood And The Destroyers","The Baddest of George Thorogood and the Destroyers"
"Gin Blossoms","Congratulations I’m Sorry"
"Grand Funk Railroad","Capitol Collectors Series"
"Grateful Dead","Shakedown Street"
"Grateful Dead","Skeletons From the Closet: The Best of the Grateful Dead"
"Great White","Hooked"
"The Guess Who","Playlist: The Very Best Of The Guess Who"
"Guns N’ Roses","Appetite for Destruction"
"Guns N’ Roses","Appetite for Destruction (Remastered)"
"Guns N’ Roses","G N’ R Lies"
"Guns N’ Roses","Use Your Illusion I"
"Guns N’ Roses","Use Your Illusion II"
"Heart","Dog & Butterfly"
"Heart","Dreamboat Annie"
"Heart","Greatest Hits / Live"
"Heart","Little Queen"
"INXS","The Best of INXS"
"INXS","INXS Greatest Hits"
"INXS","Kick"
"INXS","Listen Like Thieves"
"INXS","Switch"
"INXS","X"
"James Brown","Legends Of Rock 'n' Roll"
"James Brown & The JBs","The CD of JB: Sex Machine & Other Soul Classics"
"James Taylor","Covers"
"James Taylor","Never Die Young"
"James Taylor","New Moon Shine"
"James Taylor","Sweet Baby James"
"The Jeff Healey Band","Feel This"
"The Jeff Healey Band","Hell to Pay"
"Jerry Lee Lewis","Great Balls Of Fire"
"Jimi Hendrix & Lonnie Youngblood","Groove Maker"
